missing_cells,trial,solution_count,generation_time_ns,removal_time_ns,solution_time_ns,total_time_ns
53,5,2,32100,3100,2386200,2423800
53,6,2,31000,4200,542100,584000
53,7,2,31700,2200,658400,694100
53,8,2,23000,2200,107000,133900
53,9,2,48100,2100,1010600,1063100
53,10,2,21700,3200,2093700,2121800
54,1,2,21700,2600,4025000,4052400
54,2,2,44500,4700,158800,214300
54,3,2,45800,2500,134600,184600
54,4,2,23700,2100,260900,288400
54,5,2,23000,2100,62100,89000
54,6,2,42000,2200,13165300,13211100
54,7,2,53600,7300,126900,198200
54,8,2,30800,3400,14358000,14396000
54,9,2,44800,5100,91300,149400
54,10,2,40200,3900,503300,550700
55,1,2,20600,2600,1379000,1405000
55,2,2,29200,2700,91200,127100
55,3,2,28100,2300,40800,72800
55,4,2,31000,2200,3060400,3095100
55,5,2,41500,5800,137100,192900
55,6,2,28800,3400,24984800,25019300
55,7,2,82800,4100,126900,223300
55,8,2,26600,2300,1955400,1986100
55,9,2,35700,63800,88400,199200
55,10,2,30400,3900,1103600,1141000
56,1,2,34800,28500,444500,513300
56,2,2,32100,4600,74000,115200
56,3,2,33500,3600,793800,833800
56,4,2,47600,28400,247600,328300
56,5,2,21400,9800,203500,237700
56,6,2,26200,3300,159400,191500
56,7,2,36000,3400,865900,908200
56,8,2,50900,3900,3722100,3780500
56,9,2,36800,8400,120700,176300
56,10,2,17900,2400,383700,405900
57,1,2,55900,4000,681400,744200
57,2,2,29000,2600,24100,58200
57,3,2,23100,2200,43300,70300
57,4,2,31100,2800,104054200,104090100
57,5,2,62300,4400,218700,293200
57,6,2,35400,3100,7510300,7550400
57,7,2,40700,5600,435600,490200
57,8,2,47400,3500,27800,83400
57,9,2,29300,2400,147300,181100
57,10,2,59200,3200,33900,98900
58,1,2,29500,2400,229200,263800
58,2,2,25000,2800,118600,149700
58,3,2,30100,3600,892300,927700
58,4,2,26900,2700,88300,121000
58,5,2,52100,2100,155978500,156034300
58,6,2,50600,5600,278000,342400
58,7,2,36600,3400,12618100,12661200
58,8,2,44100,5300,291000,348500
58,9,2,44400,3300,687100,744800
58,10,2,26700,3100,905900,939500
59,1,2,24600,2700,479500,510100
59,2,2,32700,2300,112600,149300
59,3,2,20000,2100,36400,60100
59,4,2,25600,2200,261800,291100
59,5,2,25100,2800,386800,416300
59,6,2,19900,2300,273000,297000
59,7,2,19800,2200,48200,71800
59,8,2,36300,3200,46108500,46150400
59,9,2,27500,4900,4013800,4053900
59,10,2,32200,2700,159800,197000
60,1,2,21000,2300,2553400,2578400
60,2,2,20500,2200,6290000,6314300
60,3,2,35200,7100,21500,71600
60,4,2,17700,2500,33300,55200
60,5,2,21100,2200,31100,56100
60,6,2,16800,2100,1528529500,1528549900
60,7,2,29300,3800,76800,117500
60,8,2,20300,3200,270600,322000
60,9,2,30200,2100,44300,78200
60,10,2,21700,2200,1057200,1082500
61,1,2,24500,2200,39800,68300
61,2,2,17200,2200,98500,119800
61,3,2,21600,4300,266300,293700
61,4,2,25300,2100,14799200,14828300
61,5,2,31000,4300,30400,72400
61,6,2,966200,3400,24900,996200
61,7,2,22400,2200,247221200,247247700
61,8,2,45100,3800,19000,76100
61,9,2,33300,2400,23600,61400
61,10,2,16700,2100,49400,69900
62,1,2,24800,2400,187500,216200
62,2,2,37600,2200,141600,182900
62,3,2,19600,2100,71300,94600
62,4,2,33600,2100,22967100,23004800
62,5,2,24800,4600,40100,77000
62,6,2,67100,2200,365700,436500
62,7,2,24400,2200,63100,91100
62,8,2,22200,2300,100200,126500
62,9,2,19900,2200,27900,51400
62,10,2,28300,2200,20400,52200
63,1,2,17300,2200,875200,896800
63,2,2,31200,2200,392300,427200
63,3,2,24800,2200,17400,45800
63,4,2,19900,2300,56600,80200
63,5,2,22900,2200,12449400,12476000
63,6,2,24100,3600,39600,71200
63,7,2,34600,2300,86900,125300
63,8,2,29900,2300,104700,138400
63,9,2,65200,2200,65900,134700
63,10,2,22900,2200,57200,83800
64,1,2,25400,2300,131200,160600
64,2,2,16000,2200,158200,177900
64,3,2,22000,2200,24300,50100
64,4,2,26800,2300,1251900,1282600
64,5,2,29000,2300,155700,188500
64,6,2,29400,2200,20000,53000
64,7,2,95200,2100,46900,145600
64,8,2,21200,2200,141600,166900
64,9,2,17600,2100,42200,63500
64,10,2,41000,26700,87600,156600
